name,group
Бэкенд разработчик (Backend Developer),1. Разработка и программирование
Вебразработчик (Web Developer),1. Разработка и программирование
Инженер искусственного интеллекта и машинного обучения (AI/ML Engineer),1. Разработка и программирование
Мобильный разработчик (Mobile App Developer),1. Разработка и программирование
Разработчик игр (Game Developer),1. Разработка и программирование
Системный администратор (System Administrator),1. Разработка и программирование
Тестировщик (QA Engineer),1. Разработка и программирование
Фронтэнд разработчик (Frontend Developer),1. Разработка и программирование
BI аналитик (Business Intelligence Analyst),2. Аналитика и данные
Аналитик данных (Data Analyst),2. Аналитика и данные
Аналитик ПО (Software Analyst),2. Аналитика и данные
Бизнес исследователь,2. Аналитика и данные
Маркетинговый аналитик (Marketing Analyst),2. Аналитика и данные
Системный аналитик (System Analyst),2. Аналитика и данные
Специалист по Big Data (Big Data Specialist),2. Аналитика и данные
Специалист по веб аналитике (Web Analyst),2. Аналитика и данные
PPC специалист (PPC Specialist),3. Маркетинг и продвижение
SEO специалист (SEO Specialist),3. Маркетинг и продвижение
SMM специалист (Social Media Manager),3. Маркетинг и продвижение
Диджитал маркетолог (Digital Marketer),3. Маркетинг и продвижение
Контент маркетолог (Content Marketer),3. Маркетинг и продвижение
Маркетолог (Marketer),3. Маркетинг и продвижение
3D дизайнер (3D Designer),4. Дизайн и креатив
UX/UI дизайнер (UX/UI Designer),4. Дизайн и креатив
Веб дизайнер (Web Designer),4. Дизайн и креатив
Графический дизайнер (Graphic Designer),4. Дизайн и креатив
Моушн дизайнер (Motion Designer),4. Дизайн и креатив
Видеограф (Videographer),5. Контент и соц.сети
Контент менеджер (Content Manager),5. Контент и соц.сети
Копирайтер (Copywriter),5. Контент и соц.сети
Подкаст продюсер (Podcast Producer),5. Контент и соц.сети
Редактор (Editor),5. Контент и соц.сети
PR специалист,6. Коммуникации и медиа
Блогер,6. Коммуникации и медиа
Видео монтажер,6. Коммуникации и медиа
Видео оператор,6. Коммуникации и медиа
Журналист,6. Коммуникации и медиа
Копирайтер,6. Коммуникации и медиа
Маркетолог,6. Коммуникации и медиа
